Track 0: 
Track 1: Piano RH
Note 71 (B)| velocity 120 | tempo: 0 | time: 190.49 seconds | frame: 4571 => Midi message: (note_on channel=0 note=71 velocity=120 time=0)
Note 64 (E)| velocity 120 | tempo: 198 | time: 191.34 seconds | frame: 4592 => Midi message: (note_on channel=0 note=64 velocity=120 time=198)
Note 76 (E)| velocity 120 | tempo: 2 | time: 191.63 seconds | frame: 4599 => Midi message: (note_on channel=0 note=76 velocity=120 time=2)
Note 76 (E)| velocity 120 | tempo: 194 | time: 192.48 seconds | frame: 4619 => Midi message: (note_on channel=0 note=76 velocity=120 time=194)
Note 88 (E)| velocity 120 | tempo: 2 | time: 192.76 seconds | frame: 4626 => Midi message: (note_on channel=0 note=88 velocity=120 time=2)
Note 75 (D#)| velocity 120 | tempo: 112 | time: 193.60 seconds | frame: 4646 => Midi message: (note_on channel=0 note=75 velocity=120 time=112)
Note 76 (E)| velocity 120 | tempo: 6 | time: 193.89 seconds | frame: 4653 => Midi message: (note_on channel=0 note=76 velocity=120 time=6)
Note 75 (D#)| velocity 120 | tempo: 192 | time: 194.74 seconds | frame: 4673 => Midi message: (note_on channel=0 note=75 velocity=120 time=192)
Note 76 (E)| velocity 120 | tempo: 6 | time: 195.02 seconds | frame: 4680 => Midi message: (note_on channel=0 note=76 velocity=120 time=6)
Note 75 (D#)| velocity 120 | tempo: 2 | time: 195.31 seconds | frame: 4687 => Midi message: (note_on channel=0 note=75 velocity=120 time=2)
Note 76 (E)| velocity 120 | tempo: 0 | time: 195.58 seconds | frame: 4694 => Midi message: (note_on channel=0 note=76 velocity=120 time=0)
Note 75 (D#)| velocity 120 | tempo: 4 | time: 195.87 seconds | frame: 4700 => Midi message: (note_on channel=0 note=75 velocity=120 time=4)
Note 76 (E)| velocity 120 | tempo: 6 | time: 196.16 seconds | frame: 4707 => Midi message: (note_on channel=0 note=76 velocity=120 time=6)
Note 71 (B)| velocity 120 | tempo: 2 | time: 196.44 seconds | frame: 4714 => Midi message: (note_on channel=0 note=71 velocity=120 time=2)
