Track 0: Track 0
Track 1: Für Elise
Note 72 (C)| velocity 76 | tempo: 0 | time: 17.79 seconds | frame: 426 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 69 (A)| velocity 76 | tempo: 0 | time: 18.00 seconds | frame: 432 => Midi message: (note_on channel=0 note=69 velocity=76 time=0)
Note 45 (A)| velocity 70 | tempo: 0 | time: 18.00 seconds | frame: 432 => Midi message: (note_on channel=0 note=45 velocity=70 time=0)
Note 52 (E)| velocity 76 | tempo: 0 | time: 18.21 seconds | frame: 437 => Midi message: (note_on channel=0 note=52 velocity=76 time=0)
Note 57 (A)| velocity 76 | tempo: 0 | time: 18.43 seconds | frame: 442 => Midi message: (note_on channel=0 note=57 velocity=76 time=0)
Note 60 (C)| velocity 76 | tempo: 0 | time: 18.64 seconds | frame: 447 => Midi message: (note_on channel=0 note=60 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 18.86 seconds | frame: 452 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 69 (A)| velocity 76 | tempo: 0 | time: 19.07 seconds | frame: 457 => Midi message: (note_on channel=0 note=69 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 19.29 seconds | frame: 462 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 40 (E)| velocity 64 | tempo: 0 | time: 19.29 seconds | frame: 462 => Midi message: (note_on channel=0 note=40 velocity=64 time=0)
Note 52 (E)| velocity 76 | tempo: 0 | time: 19.50 seconds | frame: 468 => Midi message: (note_on channel=0 note=52 velocity=76 time=0)
Note 56 (G#)| velocity 76 | tempo: 0 | time: 19.71 seconds | frame: 473 => Midi message: (note_on channel=0 note=56 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 19.93 seconds | frame: 478 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 72 (C)| velocity 76 | tempo: 0 | time: 20.14 seconds | frame: 483 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 20.36 seconds | frame: 488 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 69 (A)| velocity 83 | tempo: 0 | time: 20.57 seconds | frame: 493 => Midi message: (note_on channel=0 note=69 velocity=83 time=0)
Note 45 (A)| velocity 76 | tempo: 0 | time: 20.57 seconds | frame: 493 => Midi message: (note_on channel=0 note=45 velocity=76 time=0)
Note 52 (E)| velocity 76 | tempo: 0 | time: 20.79 seconds | frame: 498 => Midi message: (note_on channel=0 note=52 velocity=76 time=0)
Note 57 (A)| velocity 76 | tempo: 0 | time: 21.00 seconds | frame: 504 => Midi message: (note_on channel=0 note=57 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 21.21 seconds | frame: 509 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 72 (C)| velocity 76 | tempo: 0 | time: 21.43 seconds | frame: 514 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 74 (D)| velocity 76 | tempo: 0 | time: 21.64 seconds | frame: 519 => Midi message: (note_on channel=0 note=74 velocity=76 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 21.86 seconds | frame: 524 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 48 (C)| velocity 70 | tempo: 0 | time: 21.86 seconds | frame: 524 => Midi message: (note_on channel=0 note=48 velocity=70 time=0)
Note 55 (G)| velocity 76 | tempo: 0 | time: 22.07 seconds | frame: 529 => Midi message: (note_on channel=0 note=55 velocity=76 time=0)
Note 60 (C)| velocity 76 | tempo: 0 | time: 22.29 seconds | frame: 534 => Midi message: (note_on channel=0 note=60 velocity=76 time=0)
Note 67 (G)| velocity 76 | tempo: 0 | time: 22.50 seconds | frame: 540 => Midi message: (note_on channel=0 note=67 velocity=76 time=0)
Note 77 (F)| velocity 76 | tempo: 0 | time: 22.71 seconds | frame: 545 => Midi message: (note_on channel=0 note=77 velocity=76 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 22.93 seconds | frame: 550 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 74 (D)| velocity 76 | tempo: 0 | time: 23.14 seconds | frame: 555 => Midi message: (note_on channel=0 note=74 velocity=76 time=0)
Note 43 (G)| velocity 64 | tempo: 0 | time: 23.14 seconds | frame: 555 => Midi message: (note_on channel=0 note=43 velocity=64 time=0)
Note 55 (G)| velocity 76 | tempo: 0 | time: 23.36 seconds | frame: 560 => Midi message: (note_on channel=0 note=55 velocity=76 time=0)
Note 59 (B)| velocity 76 | tempo: 0 | time: 23.57 seconds | frame: 565 => Midi message: (note_on channel=0 note=59 velocity=76 time=0)
Note 65 (F)| velocity 76 | tempo: 0 | time: 23.79 seconds | frame: 570 => Midi message: (note_on channel=0 note=65 velocity=76 time=0)
